pattern,condition,stream_id,stream_seed,beta,u_diff_cp_minus_base,mean_l1_diff_cp_minus_base,terminal_l1_diff_cp_minus_base,tau_diff_cp_minus_base,osc_rate_diff_cp_minus_base
P1-n4,D-dependent,9,20260237,0.1,0.01755047534783083,-0.03510095069566166,-0.07737305976750197,0.0,0.0
P1-n4,D-dependent,9,20260237,0.3,0.05308140213302592,-0.1061628042660519,-0.23012433346411673,-1.0,-0.06818181818181823
P1-n4,D-dependent,9,20260237,0.5,0.08428669950484113,-0.16857339900968243,-0.38470449621535036,-6.0,-0.09090909090909094
P1-n4,D-independent,9,20260237,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,9,20260237,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,9,20260237,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,9,20260237,0.1,-0.01743953792781172,0.03487907585562333,0.07838026841291446,0.0,0.022727272727272707
P1-n4,D-mismatch,9,20260237,0.3,-0.052154604032455865,0.10430920806491173,0.23836363586492854,0.0,0.09090909090909083
P1-n4,D-mismatch,9,20260237,0.5,-0.08708757401538936,0.17417514803077871,0.4022414811225746,0.0,0.13636363636363635
P1-n4,D-dependent,10,20260238,0.1,0.009137495833730802,-0.01827499166746166,-0.09051402005040365,3.0,0.11363636363636359
P1-n4,D-dependent,10,20260238,0.3,0.017003686975217036,-0.03400737395043402,-0.260640835757537,-1.0,0.11363636363636359
P1-n4,D-dependent,10,20260238,0.5,0.02523875581903645,-0.05047751163807285,-0.3723349184000244,5.0,0.09090909090909088
P1-n4,D-independent,10,20260238,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,10,20260238,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,10,20260238,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,10,20260238,0.1,-0.01040637639557851,0.020812752791156963,0.07370606017464937,0.0,0.0
P1-n4,D-mismatch,10,20260238,0.3,-0.042745039238327176,0.08549007847665435,0.21122529116572908,0.0,-0.06818181818181823
P1-n4,D-mismatch,10,20260238,0.5,-0.08236855787628361,0.1647371157525671,0.34439850184638576,6.0,-0.15909090909090912
P1-n4,D-dependent,11,20260239,0.1,-0.002721369251891592,0.005442738503783073,-0.038930401188064706,0.0,0.0
P1-n4,D-dependent,11,20260239,0.3,-0.015126623153332575,0.030253246306665094,-0.11675546866794106,-1.0,-0.045454545454545414
P1-n4,D-dependent,11,20260239,0.5,-0.03414202079281603,0.06828404158563203,-0.1783281264478369,-1.0,-0.06818181818181812
P1-n4,D-independent,11,20260239,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,11,20260239,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,11,20260239,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,11,20260239,0.1,-0.0015542078538101078,0.003108415707620271,0.03884427831898263,0.0,0.0
P1-n4,D-mismatch,11,20260239,0.3,-0.009775252047294125,0.01955050409458811,0.11618466915178804,0.0,0.11363636363636365
P1-n4,D-mismatch,11,20260239,0.5,-0.02630339546775584,0.05260679093551171,0.20435278946165342,0.0,0.09090909090909094
P1-n4,D-dependent,12,20260240,0.1,0.010475743063955711,-0.020951486127911312,-0.03242882851896296,0.0,0.045454545454545414
P1-n4,D-dependent,12,20260240,0.3,0.018046546190929158,-0.036093092381858316,-0.06094015754127016,0.0,-0.022727272727272707
P1-n4,D-dependent,12,20260240,0.5,0.0044653486023882305,-0.00893069720477635,-0.14157637123005296,0.0,0.0
P1-n4,D-independent,12,20260240,0.1,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,12,20260240,0.3,0.0,0.0,0.0,0.0,0.0
P1-n4,D-independent,12,20260240,0.5,0.0,0.0,0.0,0.0,0.0
P1-n4,D-mismatch,12,20260240,0.1,-0.017430896058002188,0.03486179211600443,0.03763335307394686,1.0,0.045454545454545414
P1-n4,D-mismatch,12,20260240,0.3,-0.05857135267503166,0.11714270535006349,0.13365900418014454,4.0,0.022727272727272707
P1-n4,D-mismatch,12,20260240,0.5,-0.1047249263524207,0.20944985270484157,0.2417271927316188,4.0,0.045454545454545414
P1-n4,D-dependent,13,20260241,0.1,0.008946830554988905,-0.01789366110997781,-0.04504091368481153,0.0,0.0
P1-n4,D-dependent,13,20260241,0.3,0.009507462966709235,-0.019014925933418414,-0.1357280226160322,-3.0,0.045454545454545414
