pattern,condition,stream_id,stream_seed,system,beta,turn,candidate,weight,operator,target,turn_violations,turn_opportunities
P1-n4,D-dependent,0,20260228,coupled,0.1,8,3,0.4349084947747232,delta,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,9,0,0.17808952632021927,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,9,1,0.07072202481268207,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,9,2,0.3614415466467293,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,9,3,0.38974690222036945,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,10,0,0.1634134640329461,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,10,1,0.17072202481268206,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,10,2,0.3297073473827169,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,10,3,0.33615716377165494,sigma,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,11,0,0.17741424955960478,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,11,1,0.07072202481268217,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,11,2,0.3603641858069507,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,11,3,0.3914995398207624,delta,1,2,3
P1-n4,D-dependent,0,20260228,coupled,0.1,12,0,0.2774142495596048,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,12,1,0.07179291303700992,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,12,2,0.30494246838226413,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.1,12,3,0.3458503690211211,sigma,0,1,3
P1-n4,D-dependent,0,20260228,coupled,0.3,1,0,0.15,delta,0,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,1,1,0.2526388888888889,delta,0,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,1,2,0.32701388888888894,delta,0,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,1,3,0.27034722222222224,delta,0,2,3
P1-n4,D-dependent,0,20260228,coupled,0.3,2,0,0.1424032517420046,sigma,1,2,3
