pattern,condition,stream_id,stream_seed,beta,delta_violation_rate,delta_repair_ops
P2-n5,D-dependent,9,20261237,0.5,-0.3333333333333333,0.0
P2-n5,D-independent,9,20261237,0.1,0.0,0.0
P2-n5,D-independent,9,20261237,0.3,0.0,0.0
P2-n5,D-independent,9,20261237,0.5,0.0,0.0
P2-n5,D-mismatch,9,20261237,0.1,0.0,0.0
P2-n5,D-mismatch,9,20261237,0.3,0.2777777777777778,0.0
P2-n5,D-mismatch,9,20261237,0.5,0.33333333333333337,0.0
P2-n5,D-dependent,10,20261238,0.1,0.0,1.0
P2-n5,D-dependent,10,20261238,0.3,-0.11111111111111105,1.0
P2-n5,D-dependent,10,20261238,0.5,-0.4444444444444444,2.0
P2-n5,D-independent,10,20261238,0.1,0.0,0.0
P2-n5,D-independent,10,20261238,0.3,0.0,0.0
P2-n5,D-independent,10,20261238,0.5,0.0,0.0
P2-n5,D-mismatch,10,20261238,0.1,0.0,0.0
P2-n5,D-mismatch,10,20261238,0.3,0.2777777777777778,18.0
P2-n5,D-mismatch,10,20261238,0.5,0.33333333333333337,24.0
P2-n5,D-dependent,11,20261239,0.1,-0.16666666666666663,0.0
P2-n5,D-dependent,11,20261239,0.3,-0.27777777777777773,0.0
P2-n5,D-dependent,11,20261239,0.5,-0.36111111111111105,0.0
P2-n5,D-independent,11,20261239,0.1,0.0,0.0
P2-n5,D-independent,11,20261239,0.3,0.0,0.0
P2-n5,D-independent,11,20261239,0.5,0.0,0.0
P2-n5,D-mismatch,11,20261239,0.1,0.0,0.0
P2-n5,D-mismatch,11,20261239,0.3,0.11111111111111116,1.0
P2-n5,D-mismatch,11,20261239,0.5,0.13888888888888895,1.0
P2-n5,D-dependent,12,20261240,0.1,-0.08333333333333326,0.0
P2-n5,D-dependent,12,20261240,0.3,-0.3333333333333333,-1.0
P2-n5,D-dependent,12,20261240,0.5,-0.38888888888888884,-1.0
P2-n5,D-independent,12,20261240,0.1,0.0,0.0
P2-n5,D-independent,12,20261240,0.3,0.0,0.0
P2-n5,D-independent,12,20261240,0.5,0.0,0.0
P2-n5,D-mismatch,12,20261240,0.1,0.0,0.0
P2-n5,D-mismatch,12,20261240,0.3,0.16666666666666674,1.0
P2-n5,D-mismatch,12,20261240,0.5,0.3055555555555556,1.0
P2-n5,D-dependent,13,20261241,0.1,-0.13888888888888884,0.0
P2-n5,D-dependent,13,20261241,0.3,-0.3055555555555555,0.0
P2-n5,D-dependent,13,20261241,0.5,-0.41666666666666663,0.0
P2-n5,D-independent,13,20261241,0.1,0.0,0.0
P2-n5,D-independent,13,20261241,0.3,0.0,0.0
P2-n5,D-independent,13,20261241,0.5,0.0,0.0
P2-n5,D-mismatch,13,20261241,0.1,0.0,0.0
P2-n5,D-mismatch,13,20261241,0.3,0.3055555555555556,14.0
P2-n5,D-mismatch,13,20261241,0.5,0.33333333333333337,14.0
P2-n5,D-dependent,14,20261242,0.1,-0.05555555555555547,0.0
P2-n5,D-dependent,14,20261242,0.3,-0.24999999999999994,0.0
P2-n5,D-dependent,14,20261242,0.5,-0.36111111111111105,0.0
P2-n5,D-independent,14,20261242,0.1,0.0,0.0
P2-n5,D-independent,14,20261242,0.3,0.0,0.0
P2-n5,D-independent,14,20261242,0.5,0.0,0.0
P2-n5,D-mismatch,14,20261242,0.1,0.0,1.0
P2-n5,D-mismatch,14,20261242,0.3,0.25,1.0
P2-n5,D-mismatch,14,20261242,0.5,0.33333333333333337,1.0
P3-n6,D-dependent,0,20262228,0.1,-0.2222222222222222,0.0
P3-n6,D-dependent,0,20262228,0.3,-0.41666666666666663,0.0
P3-n6,D-dependent,0,20262228,0.5,-0.5277777777777777,-1.0
P3-n6,D-independent,0,20262228,0.1,0.0,0.0
P3-n6,D-independent,0,20262228,0.3,0.0,0.0
P3-n6,D-independent,0,20262228,0.5,0.0,0.0
P3-n6,D-mismatch,0,20262228,0.1,0.05555555555555558,0.0
P3-n6,D-mismatch,0,20262228,0.3,0.25,2.0
P3-n6,D-mismatch,0,20262228,0.5,0.3055555555555556,13.0
P3-n6,D-dependent,1,20262229,0.1,-0.02777777777777779,0.0
P3-n6,D-dependent,1,20262229,0.3,-0.24999999999999994,2.0
P3-n6,D-dependent,1,20262229,0.5,-0.38888888888888884,0.0
P3-n6,D-independent,1,20262229,0.1,0.0,0.0
P3-n6,D-independent,1,20262229,0.3,0.0,0.0
P3-n6,D-independent,1,20262229,0.5,0.0,0.0
P3-n6,D-mismatch,1,20262229,0.1,0.0,0.0
P3-n6,D-mismatch,1,20262229,0.3,0.3055555555555556,0.0
P3-n6,D-mismatch,1,20262229,0.5,0.3055555555555556,0.0
P3-n6,D-dependent,2,20262230,0.1,-0.02777777777777779,0.0
P3-n6,D-dependent,2,20262230,0.3,-0.19444444444444442,-1.0
P3-n6,D-dependent,2,20262230,0.5,-0.5,-2.0
P3-n6,D-independent,2,20262230,0.1,0.0,0.0
P3-n6,D-independent,2,20262230,0.3,0.0,0.0
P3-n6,D-independent,2,20262230,0.5,0.0,0.0
P3-n6,D-mismatch,2,20262230,0.1,0.0,0.0
P3-n6,D-mismatch,2,20262230,0.3,0.33333333333333337,0.0
P3-n6,D-mismatch,2,20262230,0.5,0.33333333333333337,-1.0
P3-n6,D-dependent,3,20262231,0.1,0.0,0.0
P3-n6,D-dependent,3,20262231,0.3,-0.13888888888888884,-1.0
P3-n6,D-dependent,3,20262231,0.5,-0.4444444444444444,-1.0
P3-n6,D-independent,3,20262231,0.1,0.0,0.0
P3-n6,D-independent,3,20262231,0.3,0.0,0.0
P3-n6,D-independent,3,20262231,0.5,0.0,0.0
P3-n6,D-mismatch,3,20262231,0.1,0.0,0.0
P3-n6,D-mismatch,3,20262231,0.3,0.3055555555555556,1.0
P3-n6,D-mismatch,3,20262231,0.5,0.33333333333333337,2.0
P3-n6,D-dependent,4,20262232,0.1,0.0,2.0
P3-n6,D-dependent,4,20262232,0.3,-0.2222222222222222,0.0
P3-n6,D-dependent,4,20262232,0.5,-0.3333333333333333,3.0
P3-n6,D-independent,4,20262232,0.1,0.0,0.0
P3-n6,D-independent,4,20262232,0.3,0.0,0.0
P3-n6,D-independent,4,20262232,0.5,0.0,0.0
P3-n6,D-mismatch,4,20262232,0.1,0.0,0.0
P3-n6,D-mismatch,4,20262232,0.3,0.3055555555555556,28.0
P3-n6,D-mismatch,4,20262232,0.5,0.33333333333333337,28.0
P3-n6,D-dependent,5,20262233,0.1,-0.13888888888888884,0.0
P3-n6,D-dependent,5,20262233,0.3,-0.2222222222222222,0.0
P3-n6,D-dependent,5,20262233,0.5,-0.3333333333333333,0.0
P3-n6,D-independent,5,20262233,0.1,0.0,0.0
P3-n6,D-independent,5,20262233,0.3,0.0,0.0
P3-n6,D-independent,5,20262233,0.5,0.0,0.0
P3-n6,D-mismatch,5,20262233,0.1,0.05555555555555558,0.0
P3-n6,D-mismatch,5,20262233,0.3,0.3055555555555556,2.0
P3-n6,D-mismatch,5,20262233,0.5,0.33333333333333337,4.0
P3-n6,D-dependent,6,20262234,0.1,-0.05555555555555547,-1.0
P3-n6,D-dependent,6,20262234,0.3,-0.27777777777777773,-1.0
P3-n6,D-dependent,6,20262234,0.5,-0.5277777777777777,-1.0
P3-n6,D-independent,6,20262234,0.1,0.0,0.0
P3-n6,D-independent,6,20262234,0.3,0.0,0.0
P3-n6,D-independent,6,20262234,0.5,0.0,0.0
P3-n6,D-mismatch,6,20262234,0.1,0.0,0.0
P3-n6,D-mismatch,6,20262234,0.3,0.2777777777777778,0.0
P3-n6,D-mismatch,6,20262234,0.5,0.25,27.0
P3-n6,D-dependent,7,20262235,0.1,-0.08333333333333326,0.0
P3-n6,D-dependent,7,20262235,0.3,-0.24999999999999994,-1.0
P3-n6,D-dependent,7,20262235,0.5,-0.5,-1.0
P3-n6,D-independent,7,20262235,0.1,0.0,0.0
P3-n6,D-independent,7,20262235,0.3,0.0,0.0
P3-n6,D-independent,7,20262235,0.5,0.0,0.0
P3-n6,D-mismatch,7,20262235,0.1,0.05555555555555558,0.0
P3-n6,D-mismatch,7,20262235,0.3,0.2222222222222222,0.0
P3-n6,D-mismatch,7,20262235,0.5,0.19444444444444453,2.0
P3-n6,D-dependent,8,20262236,0.1,-0.05555555555555547,0.0
P3-n6,D-dependent,8,20262236,0.3,-0.16666666666666663,0.0
P3-n6,D-dependent,8,20262236,0.5,-0.33333333333333326,1.0
P3-n6,D-independent,8,20262236,0.1,0.0,0.0
P3-n6,D-independent,8,20262236,0.3,0.0,0.0
P3-n6,D-independent,8,20262236,0.5,0.0,0.0
P3-n6,D-mismatch,8,20262236,0.1,0.05555555555555558,0.0
P3-n6,D-mismatch,8,20262236,0.3,0.3055555555555556,1.0
P3-n6,D-mismatch,8,20262236,0.5,0.3055555555555556,28.0
P3-n6,D-dependent,9,20262237,0.1,-0.05555555555555558,0.0
P3-n6,D-dependent,9,20262237,0.3,-0.19444444444444442,0.0
P3-n6,D-dependent,9,20262237,0.5,-0.3055555555555555,-1.0
P3-n6,D-independent,9,20262237,0.1,0.0,0.0
P3-n6,D-independent,9,20262237,0.3,0.0,0.0
P3-n6,D-independent,9,20262237,0.5,0.0,0.0
P3-n6,D-mismatch,9,20262237,0.1,0.05555555555555558,0.0
P3-n6,D-mismatch,9,20262237,0.3,0.19444444444444442,2.0
P3-n6,D-mismatch,9,20262237,0.5,0.2222222222222222,3.0
P3-n6,D-dependent,10,20262238,0.1,-0.02777777777777779,-1.0
P3-n6,D-dependent,10,20262238,0.3,-0.19444444444444442,-1.0
P3-n6,D-dependent,10,20262238,0.5,-0.5277777777777777,1.0
P3-n6,D-independent,10,20262238,0.1,0.0,0.0
P3-n6,D-independent,10,20262238,0.3,0.0,0.0
P3-n6,D-independent,10,20262238,0.5,0.0,0.0
P3-n6,D-mismatch,10,20262238,0.1,0.05555555555555558,0.0
P3-n6,D-mismatch,10,20262238,0.3,0.3055555555555556,0.0
P3-n6,D-mismatch,10,20262238,0.5,0.33333333333333337,0.0
P3-n6,D-dependent,11,20262239,0.1,-0.02777777777777779,0.0
P3-n6,D-dependent,11,20262239,0.3,-0.24999999999999994,-1.0
P3-n6,D-dependent,11,20262239,0.5,-0.36111111111111105,-2.0
P3-n6,D-independent,11,20262239,0.1,0.0,0.0
P3-n6,D-independent,11,20262239,0.3,0.0,0.0
P3-n6,D-independent,11,20262239,0.5,0.0,0.0
P3-n6,D-mismatch,11,20262239,0.1,0.02777777777777779,0.0
P3-n6,D-mismatch,11,20262239,0.3,0.2222222222222222,0.0
P3-n6,D-mismatch,11,20262239,0.5,0.3055555555555556,0.0
P3-n6,D-dependent,12,20262240,0.1,-0.05555555555555547,-1.0
P3-n6,D-dependent,12,20262240,0.3,-0.27777777777777773,-1.0
P3-n6,D-dependent,12,20262240,0.5,-0.5,-3.0
P3-n6,D-independent,12,20262240,0.1,0.0,0.0
P3-n6,D-independent,12,20262240,0.3,0.0,0.0
P3-n6,D-independent,12,20262240,0.5,0.0,0.0
P3-n6,D-mismatch,12,20262240,0.1,0.02777777777777779,0.0
P3-n6,D-mismatch,12,20262240,0.3,0.3055555555555556,-2.0
P3-n6,D-mismatch,12,20262240,0.5,0.33333333333333337,-2.0
P3-n6,D-dependent,13,20262241,0.1,-0.02777777777777768,-2.0
P3-n6,D-dependent,13,20262241,0.3,-0.27777777777777773,-3.0
P3-n6,D-dependent,13,20262241,0.5,-0.5277777777777777,0.0
P3-n6,D-independent,13,20262241,0.1,0.0,0.0
P3-n6,D-independent,13,20262241,0.3,0.0,0.0
P3-n6,D-independent,13,20262241,0.5,0.0,0.0
P3-n6,D-mismatch,13,20262241,0.1,0.02777777777777779,-2.0
