pattern,condition,stream_id,stream_seed,system,beta,turn,candidate,weight,distance_to_ref_final,operator,target
P1-n4,D-dependent,0,20260228,coupled,0.3,11,1,0.09730893998924567,0.31972661949028885,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.3,11,2,0.03145724555081206,0.31972661949028885,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.3,11,3,0.3203935329983675,0.31972661949028885,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.3,12,0,0.49213625107326214,0.1066591625190641,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.3,12,1,0.19730893998924567,0.1066591625190641,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.3,12,2,0.05805494472731703,0.1066591625190641,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.3,12,3,0.2524998642101752,0.1066591625190641,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.5,1,0,0.2610714285714286,0.5864255774718569,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,1,1,0.15,0.5864255774718569,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,1,2,0.23071428571428573,0.5864255774718569,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,1,3,0.3582142857142857,0.5864255774718569,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,2,0,0.25145346264473784,0.7411958407656101,sigma,3
P1-n4,D-dependent,0,20260228,coupled,0.5,2,1,0.08223283427981415,0.7411958407656101,sigma,3
P1-n4,D-dependent,0,20260228,coupled,0.5,2,2,0.20809941736116236,0.7411958407656101,sigma,3
P1-n4,D-dependent,0,20260228,coupled,0.5,2,3,0.4582142857142857,0.7411958407656101,sigma,3
P1-n4,D-dependent,0,20260228,coupled,0.5,3,0,0.24984885430108486,0.5767902565850557,delta,3
P1-n4,D-dependent,0,20260228,coupled,0.5,3,1,0.16604023471374435,0.5767902565850557,delta,3
P1-n4,D-dependent,0,20260228,coupled,0.5,3,2,0.22589662527088505,0.5767902565850557,delta,3
P1-n4,D-dependent,0,20260228,coupled,0.5,3,3,0.3582142857142857,0.5767902565850557,delta,3
P1-n4,D-dependent,0,20260228,coupled,0.5,4,0,0.35592760312159416,0.3803420709206179,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,4,1,0.15818557872545388,0.3803420709206179,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,4,2,0.12589662527088505,0.3803420709206179,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,4,3,0.35999019288206685,0.3803420709206179,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,5,0,0.4739028418020656,0.30562090541783693,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,5,1,0.14560732504446613,0.30562090541783693,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,5,2,0.025896625270885043,0.30562090541783693,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,5,3,0.3545932078825833,0.30562090541783693,delta,2
P1-n4,D-dependent,0,20260228,coupled,0.5,6,0,0.49956724044598366,0.5060830822351983,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,6,1,0.04560732504446613,0.5060830822351983,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,6,2,1.1382182862950707e-06,0.5060830822351983,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,6,3,0.4548242962912639,0.5060830822351983,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,7,0,0.5995672404459838,0.4352142603553671,sigma,0
P1-n4,D-dependent,0,20260228,coupled,0.5,7,1,0.07102169260026053,0.4352142603553671,sigma,0
P1-n4,D-dependent,0,20260228,coupled,0.5,7,2,6.725072580936667e-07,0.4352142603553671,sigma,0
P1-n4,D-dependent,0,20260228,coupled,0.5,7,3,0.32941039444649767,0.4352142603553671,sigma,0
P1-n4,D-dependent,0,20260228,coupled,0.5,8,0,0.6139528576718339,0.5772548540046241,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,8,1,1e-06,0.5772548540046241,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,8,2,1.0682828901011925e-06,0.5772548540046241,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,8,3,0.38604507404527594,0.5772548540046241,delta,1
P1-n4,D-dependent,0,20260228,coupled,0.5,9,0,0.5562452182828678,0.2743980326980009,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.5,9,1,0.100001,0.2743980326980009,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.5,9,2,0.05142947893620165,0.2743980326980009,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.5,9,3,0.2923243027809305,0.2743980326980009,sigma,1
P1-n4,D-dependent,0,20260228,coupled,0.5,10,0,0.4344486564729576,0.310227398871749,sigma,2
P1-n4,D-dependent,0,20260228,coupled,0.5,10,1,0.11472186139852489,0.310227398871749,sigma,2
